composition_id,CaO_wt_pct,SiO2_wt_pct,Al2O3_wt_pct,MgO_wt_pct,FeO_wt_pct,status,liquidus_temperature_K,primary_phase_family,basicity_CaO_SiO2
CMP-8e8c566301dd941c,36.824126,28.326251,14.147466,10.702157,10.000000,ok,1692.257812,SPINEL,1.300000
CMP-c92146fb3b4561df,34.261726,26.355174,14.652902,9.730198,15.000000,ok,1678.039062,SPINEL,1.300000
CMP-d8a40950d6d4648d,39.364799,30.280614,10.867806,14.486781,5.000000,ok,1698.820312,MERWINITE,1.300000
CMP-4cf8986c6210389a,36.285669,27.912053,9.285452,6.516826,20.000000,ok,1623.351562,CA2SIO4,1.300000
CMP-e55a28effb95c0fd,25.967636,19.975104,22.928831,11.128429,20.000000,above_range,,SPINEL,1.300000
CMP-617395966386e0ee,30.362726,23.355943,13.880568,12.400764,20.000000,ok,1740.382812,MONOXIDE,1.300000
CMP-02ac161c8c59beb0,37.338266,28.721743,24.056774,4.883218,5.000000,ok,1777.023438,SPINEL,1.300000
CMP-16a7eb41960799c3,37.347739,28.729030,19.943357,8.979874,5.000000,ok,1785.226562,SPINEL,1.300000
CMP-0ef833ee2606e123,30.385379,23.373368,17.548002,8.693251,20.000000,ok,1718.507812,SPINEL,1.300000
CMP-9d0bc23bb0bd20ce,38.685807,29.758313,15.613891,0.941989,15.000000,ok,1663.820312,MELILITE,1.300000
CMP-52854cb41bdb17b2,36.844108,28.341622,22.929675,1.884596,10.000000,ok,1734.367188,MELILITE,1.300000
CMP-a124f4fcf0516530,44.624187,34.326298,9.602037,1.447478,10.000000,ok,1681.320312,CA2SIO4,1.300000
CMP-089185c2093f097d,36.882011,28.370778,11.027077,3.720134,20.000000,ok,1597.648438,CA2SIO4,1.300000
CMP-76dfda1ba6288a56,32.962572,25.355825,11.447002,10.234601,20.000000,ok,1655.617188,MONOXIDE,1.300000
CMP-1d01166e40048fe0,37.010480,28.469600,19.090149,10.429771,5.000000,ok,1785.773438,SPINEL,1.300000
CMP-f338ee9ec2ba0bdd,32.822736,25.248259,21.597728,10.331277,10.000000,above_range,,SPINEL,1.300000
CMP-af2fe6a6a970d69a,31.535213,24.257856,19.706287,14.500644,10.000000,above_range,,SPINEL,1.300000
CMP-cd36e238ccfe1953,35.620454,27.400350,15.073986,1.905210,20.000000,ok,1627.179688,MELILITE,1.300000
CMP-4b41e3246d3b9a71,34.183243,26.294803,16.632786,12.889168,10.000000,ok,1750.226562,SPINEL,1.300000
CMP-a50d76c927c17fc2,30.171755,23.209042,19.689148,11.930056,15.000000,ok,1786.867188,SPINEL,1.300000
CMP-34dfd4e0a996f34b,41.864513,32.203471,16.532508,4.399508,5.000000,ok,1720.695312,MELILITE,1.300000
CMP-1d6ffa57b31810dd,41.878503,32.214233,9.117633,1.789630,15.000000,ok,1657.257812,CA2SIO4,1.300000
CMP-144bd915e7fd1ef9,35.098138,26.998568,18.160649,4.742646,15.000000,ok,1682.414062,SPINEL,1.300000
CMP-aefd8beac80cf836,34.390610,26.454316,20.174299,3.980775,15.000000,ok,1694.992188,SPINEL,1.300000
CMP-0d7aeda485ac0d07,31.186149,23.989345,19.558932,5.265574,20.000000,ok,1709.210938,SPINEL,1.300000
CMP-12c2d73b4f604f0f,40.899778,31.461368,15.530052,7.108802,5.000000,ok,1702.101562,MELILITE,1.300000
CMP-536725ba9fa26088,24.046959,18.497661,23.866515,13.588866,20.000000,above_range,,SPINEL,1.300000
CMP-342298986a5f898e,44.893891,34.533762,12.816418,2.755929,5.000000,ok,1684.601562,MELILITE,1.300000
